images\\GJ01092017DC\\GJ01092017DCFrame00000, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00030, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00060, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00090, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00120, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame00150, [0], [2]
images\\GJ01092017DC\\GJ01092017DCFrame00180, [0], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00210, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00240, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00270, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00300, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00330, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00360, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00390, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00420, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00450, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00480, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00510, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00540, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00570, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00600, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00630, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00660, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00690, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00720, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00750, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00780, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00810, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00840, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00870, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00900, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00930, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00960, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame00990, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01020, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01050, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01080, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01110, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01140, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01170, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01200, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01230, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01260, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01290, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01320, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01350, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01380, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01410, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01440, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01470, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01500, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01530, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01560, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01590, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01620, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01650, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01680, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01710, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01740, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01770, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01800, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01830, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01860, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01890, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01920, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01950, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame01980, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02010, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02040, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02070, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02100, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02130, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02160, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02190, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02220, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02250, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02280, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02310, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02340, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02370, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02400, [1], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02430, [1], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02460, [1], [0]
images\\GJ01092017DC\\GJ01092017DCFrame02490, [1], [1]
images\\GJ01092017DC\\GJ01092017DCFrame02520, [0], [1]
